2020-12-27 16:12:640 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 16:12:174 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 16:12:451 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 16:12:601 INFO  HomePage :26 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (40d94fc2c217b8d2d8adcf0579b6e536)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 16:12:282 INFO  NewAndUsedCarSearchPage :39 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (40d94fc2c217b8d2d8adcf0579b6e536)] -> xpath: //select[@id='makes']]
2020-12-27 16:12:600 INFO  NewAndUsedCarSearchPage :46 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (40d94fc2c217b8d2d8adcf0579b6e536)] -> xpath: //select[@id='models']]
2020-12-27 16:12:988 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 16:12:536 INFO  HomePage :26 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (5bf2e1bc750cd2ceceeee3fd5e306e77)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 16:12:537 INFO  HomePage :33 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (5bf2e1bc750cd2ceceeee3fd5e306e77)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 16:12:778 INFO  NewAndUsedCarSearchPage :39 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (5bf2e1bc750cd2ceceeee3fd5e306e77)] -> xpath: //select[@id='makes']]
2020-12-27 16:12:788 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 16:12:104 INFO  HomePage :26 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (00ed2bf2585509cefd60d7aedfb84c36)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 16:12:197 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 16:12:562 INFO  HomePage :26 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (cbfdf7f381b4db5c5bef0e66377aa677)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 16:12:398 INFO  HomePage :33 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (cbfdf7f381b4db5c5bef0e66377aa677)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 16:12:248 INFO  NewAndUsedCarSearchPage :39 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (cbfdf7f381b4db5c5bef0e66377aa677)] -> xpath: //select[@id='makes']]
2020-12-27 16:12:861 INFO  NewAndUsedCarSearchPage :46 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (cbfdf7f381b4db5c5bef0e66377aa677)] -> xpath: //select[@id='models']]
2020-12-27 16:12:135 INFO  NewAndUsedCarSearchPage :53 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (cbfdf7f381b4db5c5bef0e66377aa677)] -> xpath: //select[@id='locations']]
2020-12-27 16:12:409 INFO  NewAndUsedCarSearchPage :60 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (cbfdf7f381b4db5c5bef0e66377aa677)] -> xpath: //select[@id='priceTo']]
2020-12-27 16:12:584 INFO  NewAndUsedCarSearchPage :67 - clicking on find my next car button[[ChromeDriver: chrome on WINDOWS (cbfdf7f381b4db5c5bef0e66377aa677)] -> xpath: //input[@id='search-submit']]
2020-12-27 17:12:363 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 17:12:90 INFO  HomePage :26 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (df79ce658c79b8951fe4d579ae0f7f4d)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 17:12:568 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 17:12:179 INFO  HomePage :26 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (16c2113416bd06e3f101c9ae0d69dc78)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 17:12:764 INFO  HomePage :33 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (16c2113416bd06e3f101c9ae0d69dc78)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 17:12:04 INFO  NewAndUsedCarSearchPage :39 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (16c2113416bd06e3f101c9ae0d69dc78)] -> xpath: //select[@id='makes']]
2020-12-27 17:12:818 INFO  NewAndUsedCarSearchPage :46 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (16c2113416bd06e3f101c9ae0d69dc78)] -> xpath: //select[@id='models']]
2020-12-27 17:12:02 INFO  NewAndUsedCarSearchPage :53 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (16c2113416bd06e3f101c9ae0d69dc78)] -> xpath: //select[@id='locations']]
2020-12-27 17:12:206 INFO  NewAndUsedCarSearchPage :60 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (16c2113416bd06e3f101c9ae0d69dc78)] -> xpath: //select[@id='priceTo']]
2020-12-27 17:12:400 INFO  NewAndUsedCarSearchPage :67 - clicking on find my next car button[[ChromeDriver: chrome on WINDOWS (16c2113416bd06e3f101c9ae0d69dc78)] -> xpath: //input[@id='search-submit']]
2020-12-27 17:12:741 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 17:12:600 INFO  HomePage :26 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (6a337ff40d0c3695394fc53fb5ba0c90)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 17:12:230 INFO  HomePage :33 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (6a337ff40d0c3695394fc53fb5ba0c90)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 17:12:264 INFO  NewAndUsedCarSearchPage :39 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (6a337ff40d0c3695394fc53fb5ba0c90)] -> xpath: //select[@id='makes']]
2020-12-27 17:12:585 INFO  NewAndUsedCarSearchPage :46 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (6a337ff40d0c3695394fc53fb5ba0c90)] -> xpath: //select[@id='models']]
2020-12-27 17:12:894 INFO  NewAndUsedCarSearchPage :53 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (6a337ff40d0c3695394fc53fb5ba0c90)] -> xpath: //select[@id='locations']]
2020-12-27 17:12:552 INFO  NewAndUsedCarSearchPage :60 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (6a337ff40d0c3695394fc53fb5ba0c90)] -> xpath: //select[@id='priceTo']]
2020-12-27 17:12:791 INFO  NewAndUsedCarSearchPage :67 - clicking on find my next car button[[ChromeDriver: chrome on WINDOWS (6a337ff40d0c3695394fc53fb5ba0c90)] -> xpath: //input[@id='search-submit']]
2020-12-27 17:12:658 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 17:12:325 INFO  HomePage :26 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (d384068b88fdbfbf908653aabd2b9933)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 17:12:643 INFO  HomePage :33 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (d384068b88fdbfbf908653aabd2b9933)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 17:12:967 INFO  NewAndUsedCarSearchPage :39 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (d384068b88fdbfbf908653aabd2b9933)] -> xpath: //select[@id='makes']]
2020-12-27 17:12:365 INFO  NewAndUsedCarSearchPage :46 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (d384068b88fdbfbf908653aabd2b9933)] -> xpath: //select[@id='models']]
2020-12-27 17:12:688 INFO  NewAndUsedCarSearchPage :53 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (d384068b88fdbfbf908653aabd2b9933)] -> xpath: //select[@id='locations']]
2020-12-27 17:12:912 INFO  NewAndUsedCarSearchPage :60 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (d384068b88fdbfbf908653aabd2b9933)] -> xpath: //select[@id='priceTo']]
2020-12-27 17:12:129 INFO  NewAndUsedCarSearchPage :67 - clicking on find my next car button[[ChromeDriver: chrome on WINDOWS (d384068b88fdbfbf908653aabd2b9933)] -> xpath: //input[@id='search-submit']]
2020-12-27 17:12:686 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 17:12:941 INFO  HomePage :26 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (99497903e101861fab170ed686f8d953)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 17:12:427 INFO  HomePage :33 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (99497903e101861fab170ed686f8d953)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 17:12:609 INFO  NewAndUsedCarSearchPage :39 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (99497903e101861fab170ed686f8d953)] -> xpath: //select[@id='makes']]
2020-12-27 17:12:16 INFO  NewAndUsedCarSearchPage :46 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (99497903e101861fab170ed686f8d953)] -> xpath: //select[@id='models']]
2020-12-27 17:12:333 INFO  NewAndUsedCarSearchPage :53 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (99497903e101861fab170ed686f8d953)] -> xpath: //select[@id='locations']]
2020-12-27 17:12:797 INFO  NewAndUsedCarSearchPage :60 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (99497903e101861fab170ed686f8d953)] -> xpath: //select[@id='priceTo']]
2020-12-27 17:12:966 INFO  NewAndUsedCarSearchPage :67 - clicking on find my next car button[[ChromeDriver: chrome on WINDOWS (99497903e101861fab170ed686f8d953)] -> xpath: //input[@id='search-submit']]
2020-12-27 17:12:968 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 17:12:405 INFO  HomePage :26 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (3976f99d6795c07cbf4199a902ac61ba)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 17:12:834 INFO  HomePage :33 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (3976f99d6795c07cbf4199a902ac61ba)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 17:12:902 INFO  NewAndUsedCarSearchPage :39 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (3976f99d6795c07cbf4199a902ac61ba)] -> xpath: //select[@id='makes']]
2020-12-27 17:12:27 INFO  NewAndUsedCarSearchPage :46 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (3976f99d6795c07cbf4199a902ac61ba)] -> xpath: //select[@id='models']]
