2020-12-27 11:12:522 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 11:12:803 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 11:12:583 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 11:12:171 INFO  HomePage :23 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (16fe4eaf81e111988146a65d36c421a6)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 11:12:543 INFO  HomePage :30 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (16fe4eaf81e111988146a65d36c421a6)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 11:12:769 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 11:12:53 INFO  HomePage :23 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (f29fcad2e05ad1ec0a24a693d1a9ab2c)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 11:12:564 INFO  HomePage :30 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (f29fcad2e05ad1ec0a24a693d1a9ab2c)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 11:12:623 INFO  NewAndUsedCarSearchPage :22 - Verify that user is on new and used car search page [[ChromeDriver: chrome on WINDOWS (f29fcad2e05ad1ec0a24a693d1a9ab2c)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2020-12-27 12:12:561 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 12:12:433 INFO  HomePage :23 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (2af27e5131209e048c816d56e33b8115)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 12:12:914 INFO  HomePage :30 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (2af27e5131209e048c816d56e33b8115)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 12:12:450 INFO  NewAndUsedCarSearchPage :23 - Verify that user is on new and used car search page [[ChromeDriver: chrome on WINDOWS (2af27e5131209e048c816d56e33b8115)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2020-12-27 12:12:796 INFO  NewAndUsedCarSearchPage :30 - Clicking on any make field[[ChromeDriver: chrome on WINDOWS (2af27e5131209e048c816d56e33b8115)] -> xpath: //select[@id='makes']]
2020-12-27 12:12:931 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 12:12:790 INFO  HomePage :23 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (265f946fedab0616654c83e54a9e013e)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 12:12:330 INFO  HomePage :30 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (265f946fedab0616654c83e54a9e013e)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 12:12:54 INFO  NewAndUsedCarSearchPage :23 - Verify that user is on new and used car search page [[ChromeDriver: chrome on WINDOWS (265f946fedab0616654c83e54a9e013e)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2020-12-27 12:12:114 INFO  NewAndUsedCarSearchPage :30 - Clicking on any make field[[ChromeDriver: chrome on WINDOWS (265f946fedab0616654c83e54a9e013e)] -> xpath: //select[@id='makes']]
2020-12-27 12:12:874 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 12:12:617 INFO  HomePage :23 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (3e95eff4b7c3a9a077689f7ce06358f7)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 12:12:609 INFO  HomePage :30 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (3e95eff4b7c3a9a077689f7ce06358f7)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 12:12:897 INFO  NewAndUsedCarSearchPage :23 - Verify that user is on new and used car search page [[ChromeDriver: chrome on WINDOWS (3e95eff4b7c3a9a077689f7ce06358f7)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2020-12-27 12:12:560 INFO  NewAndUsedCarSearchPage :30 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (3e95eff4b7c3a9a077689f7ce06358f7)] -> xpath: //select[@id='makes']]
2020-12-27 12:12:381 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 12:12:597 INFO  HomePage :23 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (3aa3bba79c37b481919ad841d1fc1ae2)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 12:12:130 INFO  HomePage :30 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (3aa3bba79c37b481919ad841d1fc1ae2)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 12:12:327 INFO  NewAndUsedCarSearchPage :25 - Verify that user is on new and used car search page [[ChromeDriver: chrome on WINDOWS (3aa3bba79c37b481919ad841d1fc1ae2)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
